"Date","Price","Open","High","Low","Vol.","Change %"
"19/02/2026","302.85","301.82","305.47","300.04","25.83M","-0.16%"
"18/02/2026","303.33","302.09","305.38","301.25","28.48M","0.43%"
"17/02/2026","302.02","300.04","304.43","296.25","39.25M","-1.21%"
"13/02/2026","305.72","307.73","308.63","303.71","38.50M","-1.06%"
"12/02/2026","309.00","312.09","316.24","307.20","47.76M","-0.63%"
"11/02/2026","310.96","318.97","321.06","309.66","45.41M","-2.39%"
"10/02/2026","318.58","320.97","321.67","314.61","39.17M","-1.77%"
"09/02/2026","324.32","320.93","327.70","317.26","39.64M","0.45%"
"06/02/2026","322.86","327.18","330.38","319.92","56.38M","-2.53%"
"05/02/2026","331.25","312.22","332.69","306.46","88.21M","-0.54%"
"04/02/2026","333.04","342.96","343.31","328.52","70.62M","-1.96%"
"03/02/2026","339.71","347.34","349.00","337.47","36.51M","-1.16%"
"02/02/2026","343.69","336.22","344.83","335.63","32.01M","1.68%"
"30/01/2026","338.00","340.00","340.00","332.29","31.02M","-0.07%"
"29/01/2026","338.25","340.30","342.29","326.54","39.79M","0.67%"
"28/01/2026","336.01","336.06","337.54","331.94","27.43M","0.44%"
"27/01/2026","334.55","335.36","337.91","333.48","21.64M","0.39%"
"26/01/2026","333.26","327.80","335.84","327.00","26.04M","1.63%"
"23/01/2026","327.93","332.48","333.69","327.45","27.28M","-0.79%"
"22/01/2026","330.54","334.45","335.15","328.75","26.25M","0.66%"
"21/01/2026","328.38","320.92","332.48","319.35","35.39M","1.98%"
"20/01/2026","322.00","320.87","327.73","320.43","35.36M","-2.42%"
"16/01/2026","330.00","334.41","334.65","327.70","40.34M","-0.84%"
"15/01/2026","332.78","337.65","337.69","330.74","28.44M","-0.91%"
"14/01/2026","335.84","335.06","336.52","330.48","28.53M","-0.04%"
"13/01/2026","335.97","334.95","340.49","333.62","33.52M","1.24%"
"12/01/2026","331.86","325.80","334.04","325.00","33.92M","1.00%"
"09/01/2026","328.57","327.09","330.83","325.80","26.21M","0.96%"
"08/01/2026","325.44","328.96","330.32","321.50","31.90M","1.07%"
"07/01/2026","321.98","314.36","326.15","314.19","35.10M","2.43%"
"06/01/2026","314.34","316.40","320.94","311.78","31.21M","-0.70%"
"05/01/2026","316.54","317.65","319.02","314.63","30.20M","0.44%"
"02/01/2026","315.15","316.90","322.50","310.33","32.01M","0.69%"
"31/12/2025","313.00","312.85","314.58","311.44","16.38M","-0.27%"
"30/12/2025","313.85","312.50","316.95","312.46","17.38M","0.09%"
"29/12/2025","313.56","311.36","314.02","310.62","19.62M","0.02%"
"26/12/2025","313.51","314.48","315.08","312.27","10.90M","-0.18%"
"24/12/2025","314.09","314.77","315.08","311.92","10.10M","-0.08%"
"23/12/2025","314.35","309.63","314.94","309.32","25.48M","1.48%"
"22/12/2025","309.78","309.88","310.13","305.30","26.43M","0.85%"
"19/12/2025","307.16","301.73","307.25","300.97","59.94M","1.55%"
"18/12/2025","302.46","301.72","303.96","299.23","33.52M","1.93%"
